Project,Workflow,Job,Step,failures,runtime diff in job, runtime diff in step,Runtime with fix,Runtime wo fix,step-runtime w fix,step-runtime wo fix,commit sha with fix,commit sha wo fix,build log with fix,build log wo fix
soot,Soot CI,Build and Test with java 8,Build and test Java 8,,-49.0,-57.0,250.0,189.0,238.0,181.0,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4517205231/jobs/7956230651,https://github.com/optimizing-ci-builds/soot/actions/runs/4517205257/jobs/7956230672
soot,Soot CI,Build and Test with java 9,Build and test Java 9,,80.0,64.0,305.0,373.0,293.0,357.0,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4517205231/jobs/7956230683,https://github.com/optimizing-ci-builds/soot/actions/runs/4517205257/jobs/7956230703
soot,Soot CI,Build and Test with java 11,Build and test Java 11,,30.0,5.0,272.0,292.0,262.0,267.0,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4517205231/jobs/7956230716,https://github.com/optimizing-ci-builds/soot/actions/runs/4517205257/jobs/7956230736
Algorithms,QA check,build,Test,,12.0,0.0,23.0,19.0,7.0,7.0,a768e44e62298d1c54ccc62c1ced22b5ccfdab85,c108e3a4b4fa2556b8c88d7ab6803084b01a4364,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4517205300/jobs/7956230806,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4517205330/jobs/7956230838
spring-petclinic-rest,Java CI with Maven,build,Build with Maven,,40.0,15.0,77.0,93.0,53.0,68.0,a2c7eebcadc9282cb17c888d3aadd4a54fa54b0f,0ed40a3d66243dc578fd20711f09f0bb9491a01b,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4517205361/jobs/7956230951,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4517205368/jobs/7956230949
socket.io-client-java,CI,verify (7),Run the Maven verify phase,,11.0,2.0,137.0,140.0,129.0,131.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517205392/jobs/7956231484,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517205418/jobs/7956231060
socket.io-client-java,CI,verify (8),Run the Maven verify phase,,18.0,3.0,139.0,144.0,126.0,129.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517205392/jobs/7956231515,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517205418/jobs/7956231095
socket.io-client-java,CI,verify (11),Run the Maven verify phase,,28.0,8.0,143.0,157.0,129.0,137.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517205392/jobs/7956231557,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517205418/jobs/7956231144
mooc-software-testing,Java CI with Maven,build,Build with Maven,,15.0,4.0,30.0,31.0,16.0,20.0,f8563a9ce84ce010ad9593666ddb56d596318541,daf30179bddc1c395f135e34a3330f1a154e423b,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4517205539/jobs/7956231278,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4517205584/jobs/7956231312
matsim-example-project,Java CI with Maven,build,Run mvn verify,,6.0,-11.0,261.0,247.0,241.0,230.0,438350e75b84d89bac7f6280746d346113527310,d998237b4e3992ff999732d32479e2366ad50b2e,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4517205675/jobs/7956231517,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4517205692/jobs/7956232019
JSqlParser,Java CI with Maven,Java 8 building ...,Build with Maven,,3.0,-7.0,116.0,105.0,102.0,95.0,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517205799/jobs/7956231690,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517205831/jobs/7956231694
JSqlParser,Java CI with Maven,Java 11 building ...,Build with Maven,,17.0,7.0,112.0,121.0,104.0,111.0,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517205799/jobs/7956231724,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517205831/jobs/7956231730
junit4,CI,Build and verify (JDK 6),Build and verify,,-19.0,-26.0,94.0,66.0,85.0,59.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517205948/jobs/7956231921,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517205978/jobs/7956231919
junit4,CI,Build and verify (JDK 8),Build and verify,,57.0,51.0,51.0,99.0,42.0,93.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517205948/jobs/7956231968,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517205978/jobs/7956231975
